competition_structure_id,competition_structure_name,enqueued_time_utc,is_live,is_most_recent,qualification_status,ranking,statistic_type,team_id,team_name_short,value,fdh_inserttimestamp,fdh_updatetimestamp,fdh_deletetimestamp,fdh_fullrecordhash
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,MatchesLost,1914194,Korea Republic,2,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,438d2c49228c392d4ffede6672c9f496
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,MatchesPlayed,1914194,Korea Republic,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,1d8d36ffaddfbc71934ac6d183f6fd8e
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,MatchesWon,1914194,Korea Republic,0,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,2e090fbbce437921ae13a710b794abd0
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,Points,1914194,Korea Republic,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,2243cb6a7f34d29ce19fd7d8eb93b7f2
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,TeamConductScore,1914194,Korea Republic,-2,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,0a18f7cd13ac88ba9044c945f71f4102
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,GoalsAgainst,1914904,Spain,2,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,5b877cebcdbab44e7e892ad6e6853172
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,GoalsDifference,1914904,Spain,8,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,4f64bf1bf0a261171e334b488ec08cec
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,GoalsFor,1914904,Spain,10,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,ee06ff2fdf7232a8d849f4c98b4f05e7
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,MatchesDrawn,1914904,Spain,0,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,f5e802ff23f3c43bf16d8e1488fcca48
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,MatchesLost,1914904,Spain,0,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,f5e802ff23f3c43bf16d8e1488fcca48
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,MatchesPlayed,1914904,Spain,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,734c4b5fea58b37e99a12da995a4533a
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,MatchesWon,1914904,Spain,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,734c4b5fea58b37e99a12da995a4533a
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,Points,1914904,Spain,9,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,e23885ab8503bee1e149dd1e3ac1b3bd
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Qualified,1,TeamConductScore,1914904,Spain,-7,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,f3c1825f8d050621b3eb27fb8946f389
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,GoalsAgainst,1915196,Colombia,5,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,a0de64696cd6a9b4a44069ce1735a81d
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,GoalsDifference,1915196,Colombia,-3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,3f8dbb0765fb40b4910b967980ee63cd
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,GoalsFor,1915196,Colombia,2,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,b8b7a484343b25758ade54416c1676e2
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,MatchesDrawn,1915196,Colombia,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,cba77f7de597a039f39e94c12808c9bc
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,MatchesLost,1915196,Colombia,2,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,b8b7a484343b25758ade54416c1676e2
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,MatchesPlayed,1915196,Colombia,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,a33fcebb0679779f5b310838268b5dd8
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,MatchesWon,1915196,Colombia,0,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,f1021363380ea7148d91277f1f6326dc
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,Points,1915196,Colombia,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,cba77f7de597a039f39e94c12808c9bc
288903,Group B,2024-10-22 21:59:00.000 Z,true,true,Eliminated,3,TeamConductScore,1915196,Colombia,-11,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,eb953c9ddf8a36e96858a36031a2febe
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Qualified,2,GoalsAgainst,1916472,USA,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,e66b963dde7177630c346bceb063c6fd
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Qualified,2,GoalsDifference,1916472,USA,5,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,24faea409291b4ad8e0b9d30d837aab2
